Rank;Time;Name;Country;Date of Birth;Place;City;Date;Gender;Event;Time_s;Age
1;00:01:40.910000;David Rudisha;KEN;1988-12-17;1.0;London;2012-09-08;Men;800 m;100.91;23.742465753424657
2;00:01:41.010000;David Rudisha;KEN;1988-12-17;1.0;Rieti;2010-08-29;Men;800 m;101.01;21.71232876712329
3;00:01:41.090000;David Rudisha;KEN;1988-12-17;1.0;Berlin;2010-08-22;Men;800 m;101.09;21.693150684931506
4;00:01:41.110000;Wilson Kipketer;DEN;1970-12-12;1.0;Köln;1997-08-24;Men;800 m;101.11;26.71780821917808
5;00:01:41.240000;Wilson Kipketer;DEN;1970-12-12;1.0;Zürich;1997-08-13;Men;800 m;101.24;26.687671232876713
6;00:01:41.330000;David Rudisha;KEN;1988-12-17;1.0;Rieti;2011-10-09;Men;800 m;101.33;22.824657534246576
7;00:01:41.510000;David Rudisha;KEN;1988-12-17;1.0;Heusden-Zolder;2010-10-07;Men;800 m;101.51;21.81917808219178
8;00:01:41.540000;David Rudisha;KEN;1988-12-17;1.0;Saint-Denis;2012-06-07;Men;800 m;101.54;23.487671232876714
9;00:01:41.730000;Sebastian Coe;GBR;1956-09-29;1.0;Firenze;1981-10-06;Men;800 m;101.73;25.035616438356165
9;00:01:41.730000;Wilson Kipketer;DEN;1970-12-12;1.0;Stockholm;1997-07-07;Men;800 m;101.73;26.586301369863012
9;00:01:41.730000;Nijel Amos;BOT;1994-03-15;2.0;London;2012-09-08;Men;800 m;101.73;18.4986301369863
12;00:01:41.740000;David Rudisha;KEN;1988-12-17;1.0;New York City;2012-09-06;Men;800 m;101.74;23.736986301369864
13;00:01:41.770000;Joaquim Cruz;BRA;1963-03-12;1.0;Köln;1984-08-26;Men;800 m;101.77;21.473972602739725
14;00:01:41.830000;Wilson Kipketer;DEN;1970-12-12;1.0;Rieti;1996-01-09;Men;800 m;101.83;25.09315068493151
15;00:01:42.010000;David Rudisha;KEN;1988-12-17;1.0;Rieti;2009-06-09;Men;800 m;102.01;20.49041095890411
16;00:01:42.040000;David Rudisha;KEN;1988-12-17;1.0;Oslo;2010-04-06;Men;800 m;102.04;21.315068493150687
17;00:01:42.120000;David Rudisha;KEN;1988-12-17;1.0;Nairobi;2012-06-23;Men;800 m;102.12;23.53150684931507
18;00:01:42.150000;David Rudisha;KEN;1988-12-17;1.0;Rio de Janeiro;2016-08-15;Men;800 m;102.15;27.67945205479452
19;00:01:42.170000;Wilson Kipketer;DEN;1970-12-12;1.0;Tokyo;1996-09-16;Men;800 m;102.17;25.78082191780822
20;00:01:42.200000;Wilson Kipketer;DEN;1970-12-12;1.0;Bruxelles;1997-08-22;Men;800 m;102.2;26.71232876712329
21;00:01:42.230000;Abubaker Kaki Khamis;SUD;1989-06-21;2.0;Oslo;2010-04-06;Men;800 m;102.23;20.805479452054794
22;00:01:42.270000;Wilson Kipketer;DEN;1970-12-12;1.0;Bruxelles;1999-03-09;Men;800 m;102.27;28.257534246575343
23;00:01:42.280000;Sammy Koskei;KEN;1961-05-14;2.0;Köln;1984-08-26;Men;800 m;102.28;23.301369863013697
24;00:01:42.320000;Wilson Kipketer;DEN;1970-12-12;1.0;Rieti;2002-08-09;Men;800 m;102.32;31.67945205479452
25;00:01:42.330000;Sebastian Coe;GBR;1956-09-29;1.0;Oslo;1979-05-07;Men;800 m;102.33;22.616438356164384
26;00:01:42.340000;Joaquim Cruz;BRA;1963-03-12;1.0;Zürich;1984-08-22;Men;800 m;102.34;21.46301369863014
26;00:01:42.340000;Wilfred Bungei;KEN;1980-07-24;2.0;Rieti;2002-08-09;Men;800 m;102.34;22.057534246575344
28;00:01:42.370000;Mohammed Aman;ETH;1994-01-10;1.0;Bruxelles;2013-06-09;Men;800 m;102.37;19.424657534246574
29;00:01:42.410000;Joaquim Cruz;BRA;1963-03-12;1.0;Bruxelles;1984-08-24;Men;800 m;102.41;21.46849315068493
30;00:01:42.450000;Nijel Amos;BOT;1994-03-15;1.0;Monaco;2014-07-18;Men;800 m;102.45;20.356164383561644
31;00:01:42.470000;Yuriy Borzakovskiy;RUS;1981-04-12;1.0;Bruxelles;2001-08-24;Men;800 m;102.47;20.38082191780822
32;00:01:42.490000;Joaquim Cruz;BRA;1963-03-12;1.0;Koblenz;1985-08-28;Men;800 m;102.49;22.47945205479452
33;00:01:42.510000;Wilson Kipketer;DEN;1970-12-12;1.0;Nice;1996-10-07;Men;800 m;102.51;25.838356164383562
33;00:01:42.510000;Amel Tuka;BIH;1991-01-09;1.0;Monaco;2015-07-17;Men;800 m;102.51;24.534246575342465
35;00:01:42.520000;Wilfred Bungei;KEN;1980-07-24;1.0;Bruxelles;2003-05-09;Men;800 m;102.52;22.805479452054794
36;00:01:42.530000;Timothy Kitum;KEN;1994-11-20;3.0;London;2012-09-08;Men;800 m;102.53;17.813698630136987
36;00:01:42.530000;Mohammed Aman;ETH;1994-01-10;1.0;Zürich;2012-08-30;Men;800 m;102.53;18.649315068493152
36;00:01:42.530000;Pierre-Ambroise Bosse;FRA;1992-05-11;2.0;Monaco;2014-07-18;Men;800 m;102.53;22.2
39;00:01:42.540000;Joaquim Cruz;BRA;1963-03-12;1.0;Köln;1985-08-25;Men;800 m;102.54;22.471232876712328
40;00:01:42.550000;André Bucher;SUI;1976-10-19;1.0;Zürich;2001-08-17;Men;800 m;102.55;24.843835616438355
41;00:01:42.570000;Wilson Kipketer;DEN;1970-12-12;1.0;Monaco;1999-04-08;Men;800 m;102.57;28.339726027397262
42;00:01:42.580000;Vebjørn Rodal;NOR;1972-09-16;1.0;Atlanta;1996-07-31;Men;800 m;102.58;23.887671232876713
43;00:01:42.590000;Wilson Kipketer;DEN;1970-12-12;1.0;Monaco;1996-10-08;Men;800 m;102.59;25.84109589041096
44;00:01:42.600000;Johnny Gray;USA;1960-06-19;2.0;Koblenz;1985-08-28;Men;800 m;102.6;25.208219178082192
45;00:01:42.610000;Wilson Kipketer;DEN;1970-12-12;1.0;Zürich;1996-08-14;Men;800 m;102.61;25.69041095890411
45;00:01:42.610000;Wilson Kipketer;DEN;1970-12-12;1.0;Lausanne;1997-02-07;Men;800 m;102.61;26.175342465753424
45;00:01:42.610000;David Rudisha;KEN;1988-12-17;1.0;Monaco;2011-07-22;Men;800 m;102.61;22.60821917808219
45;00:01:42.610000;Taoufik Makhloufi;ALG;1988-04-29;2.0;Rio de Janeiro;2016-08-15;Men;800 m;102.61;28.315068493150687
49;00:01:42.620000;Patrick Ndururi;KEN;1969-01-12;2.0;Zürich;1997-08-13;Men;800 m;102.62;28.602739726027398
50;00:01:42.650000;Johnny Gray;USA;1960-06-19;1.0;Zürich;1988-08-17;Men;800 m;102.65;28.18082191780822
51;00:01:42.660000;Nijel Amos;BOT;1994-03-15;2.0;Monaco;2015-07-17;Men;800 m;102.66;21.353424657534248
52;00:01:42.670000;Alfred Kirwa Yego;KEN;1986-11-28;2.0;Rieti;2009-06-09;Men;800 m;102.67;22.545205479452054
53;00:01:42.690000;Hezekiél Sepeng;RSA;1974-06-30;2.0;Bruxelles;1999-03-09;Men;800 m;102.69;24.706849315068492
53;00:01:42.690000;Japheth Kimutai;KEN;1978-12-20;3.0;Bruxelles;1999-03-09;Men;800 m;102.69;20.23013698630137
53;00:01:42.690000;Abubaker Kaki Khamis;SUD;1989-06-21;1.0;Oslo;2008-06-06;Men;800 m;102.69;18.972602739726028
56;00:01:42.740000;Hezekiél Sepeng;RSA;1974-06-30;2.0;Atlanta;1996-07-31;Men;800 m;102.74;22.101369863013698
56;00:01:42.740000;Wilson Kipketer;DEN;1970-12-12;1.0;Bruxelles;2002-08-30;Men;800 m;102.74;31.736986301369864
58;00:01:42.750000;André Bucher;SUI;1976-10-19;2.0;Bruxelles;2001-08-24;Men;800 m;102.75;24.863013698630137
59;00:01:42.760000;Wilson Kipketer;DEN;1970-12-12;1.0;Oslo;1996-05-07;Men;800 m;102.76;25.41917808219178
59;00:01:42.760000;Japheth Kimutai;KEN;1978-12-20;1.0;Stuttgart;1998-07-19;Men;800 m;102.76;19.59178082191781
61;00:01:42.770000;Wilson Kipketer;DEN;1970-12-12;1.0;Bruxelles;1996-08-23;Men;800 m;102.77;25.715068493150685
61;00:01:42.770000;Wilson Kipketer;DEN;1970-12-12;1.0;Monaco;1997-08-16;Men;800 m;102.77;26.695890410958903
63;00:01:42.790000;Frederick Onyancha;KEN;1969-12-25;3.0;Atlanta;1996-07-31;Men;800 m;102.79;26.616438356164384
63;00:01:42.790000;Wilson Kipketer;DEN;1970-12-12;1.0;Roma;1999-07-07;Men;800 m;102.79;28.586301369863012
63;00:01:42.790000;Yuriy Borzakovskiy;RUS;1981-04-12;1.0;Monaco;2008-07-19;Men;800 m;102.79;27.28767123287671
63;00:01:42.790000;Youssef Saad Kamel;BRN;1983-03-29;2.0;Monaco;2008-07-19;Men;800 m;102.79;25.326027397260273
67;00:01:42.800000;Johnny Gray;USA;1960-06-19;1.0;New Orleans;1992-06-24;Men;800 m;102.8;32.035616438356165
68;00:01:42.810000;Jean-Patrick Nduwimana;BDI;1978-05-09;2.0;Zürich;2001-08-17;Men;800 m;102.81;23.29041095890411
68;00:01:42.810000;David Rudisha;KEN;1988-12-17;2.0;Zürich;2012-08-30;Men;800 m;102.81;23.71780821917808
70;00:01:42.820000;Duane Solomon;USA;1984-12-28;4.0;London;2012-09-08;Men;800 m;102.82;27.715068493150685
71;00:01:42.830000;Mohammed Aman;ETH;1994-01-10;3.0;Monaco;2014-07-18;Men;800 m;102.83;20.53150684931507
72;00:01:42.840000;David Rudisha;KEN;1988-12-17;1.0;Nairobi;2010-07-30;Men;800 m;102.84;21.63013698630137
72;00:01:42.840000;Ferguson Cheruiyot;KEN;1989-11-30;4.0;Monaco;2014-07-18;Men;800 m;102.84;24.646575342465752
74;00:01:42.850000;Norberto Téllez;CUB;1972-01-22;4.0;Atlanta;1996-07-31;Men;800 m;102.85;24.53972602739726
75;00:01:42.860000;Mbulaeni Mulaudzi;RSA;1980-09-08;3.0;Rieti;2009-06-09;Men;800 m;102.86;28.76986301369863
76;00:01:42.870000;Wilson Kipketer;DEN;1970-12-12;1.0;Monaco;1995-07-25;Men;800 m;102.87;24.632876712328766
76;00:01:42.870000;Wilson Kipketer;DEN;1970-12-12;1.0;Zürich;1995-08-16;Men;800 m;102.87;24.693150684931506
76;00:01:42.870000;Japheth Kimutai;KEN;1978-12-20;1.0;Zürich;1998-12-08;Men;800 m;102.87;19.980821917808218
76;00:01:42.870000;Alfred Kipketer;KEN;1996-12-26;1.0;Saint-Denis;2016-08-27;Men;800 m;102.87;19.682191780821917
80;00:01:42.880000;Steve Cram;GBR;1960-10-14;1.0;Zürich;1985-08-21;Men;800 m;102.88;24.86849315068493
81;00:01:42.890000;Mbulaeni Mulaudzi;RSA;1980-09-08;2.0;Bruxelles;2003-05-09;Men;800 m;102.89;22.67945205479452
82;00:01:42.900000;Patrick Ndururi;KEN;1969-01-12;1.0;Roma;1998-07-14;Men;800 m;102.9;29.52054794520548
82;00:01:42.900000;André Bucher;SUI;1976-10-19;1.0;Monaco;2001-07-20;Men;800 m;102.9;24.767123287671232
84;00:01:42.910000;William Yiampoy;KEN;1974-05-17;3.0;Rieti;2002-08-09;Men;800 m;102.91;28.24931506849315
84;00:01:42.910000;David Rudisha;KEN;1988-12-17;1.0;London;2011-05-08;Men;800 m;102.91;22.4027397260274
86;00:01:42.920000;André Bucher;SUI;1976-10-19;4.0;Bruxelles;1999-03-09;Men;800 m;102.92;22.4
87;00:01:42.930000;Clayton Murphy;USA;1995-02-26;3.0;Rio de Janeiro;2016-08-15;Men;800 m;102.93;21.482191780821918
88;00:01:42.950000;Vebjørn Rodal;NOR;1972-09-16;2.0;Oslo;1996-05-07;Men;800 m;102.95;23.654794520547945
88;00:01:42.950000;Boaz Lalang;KEN;1989-02-08;2.0;Rieti;2010-08-29;Men;800 m;102.95;21.567123287671233
88;00:01:42.950000;Nick Symmonds;USA;1983-12-30;5.0;London;2012-09-08;Men;800 m;102.95;28.71232876712329
91;00:01:42.960000;Johnny Gray;USA;1960-06-19;1.0;Koblenz;1984-08-29;Men;800 m;102.96;24.21095890410959
91;00:01:42.960000;Wilfred Bungei;KEN;1980-07-24;3.0;Zürich;2001-08-17;Men;800 m;102.96;21.07945205479452
93;00:01:42.970000;Peter Elliott;GBR;1962-10-09;1.0;Sevilla;1990-05-30;Men;800 m;102.97;27.65753424657534
93;00:01:42.970000;Ayanleh Souleiman;DJI;1992-12-03;3.0;Monaco;2015-07-17;Men;800 m;102.97;22.632876712328766
95;00:01:42.980000;Joaquim Cruz;BRA;1963-03-12;1.0;Berlin;1985-08-23;Men;800 m;102.98;22.465753424657535
95;00:01:42.980000;Patrick Konchellah;KEN;1968-04-20;2.0;Köln;1997-08-24;Men;800 m;102.98;29.364383561643837
95;00:01:42.980000;Wilson Kipketer;DEN;1970-12-12;1.0;Fukuoka;1997-09-13;Men;800 m;102.98;26.77260273972603
95;00:01:42.980000;Japheth Kimutai;KEN;1978-12-20;2.0;Roma;1999-07-07;Men;800 m;102.98;20.55890410958904
95;00:01:42.980000;David Rudisha;KEN;1988-12-17;5.0;Monaco;2014-07-18;Men;800 m;102.98;25.6
95;00:01:42.980000;Taoufik Makhloufi;ALG;1988-04-29;2.0;Saint-Denis;2016-08-27;Men;800 m;102.98;28.34794520547945
101;00:01:43;Joaquim Cruz;BRA;1963-03-12;1.0;Los Angeles;1984-06-08;Men;800 m;103.0;21.257534246575343
101;00:01:43;William Yiampoy;KEN;1974-05-17;4.0;Zürich;2001-08-17;Men;800 m;103.0;27.27123287671233
